"Sentence";"Word"
"A storage room in Kenya�s Tsavo National Park, were poaching has been rampant, bears witness to this carnage. Tiny bloodstained tusks from infant elephants fill an entire shelf.";"to bear witness to sth."
"The ivory trail leading out of Africa varies according to the latest regulation and the current loophole. In recent years ivory has been smuggled aboard every mode of transportation, from commercial jetliners to the single-masted dhows that ply the ancien";"dhow"
"The ivory trail leading out of Africa varies according to the latest regulation and the current loophole. In recent years ivory has been smuggled aboard every mode of transportation, from commercial jetliners to the single-masted dhows that ply the ancien";"loophole"
"The ivory trail leading out of Africa varies according to the latest regulation and the current loophole. In recent years ivory has been smuggled aboard every mode of transportation, from commercial jetliners to the single-masted dhows that ply the ancien";"to ply"
"The ivory trail leading out of Africa varies according to the latest regulation and the current loophole. In recent years ivory has been smuggled aboard every mode of transportation, from commercial jetliners to the single-masted dhows that ply the ancien";"trail"
"Beijing, a Ceausescu supporter to the end, fretted privately but said only that ""we respect the choice made by the Rumanian people.""";"to fret"
"Between Africa, littered with the bloated carcasses of elephants, and the huge stockpiles of the Far East is a trail marked by secrecy and deceit. It is a trail traveled by ruthless poachers, cunning smugglers, corrupt and inept officials, and the barons ";"to litter"
"Between Africa, littered with the bloated carcasses of elephants, and the huge stockpiles of the Far East is a trail marked by secrecy and deceit. It is a trail traveled by ruthless poachers, cunning smugglers, corrupt and inept officials, and the barons ";"bloated"
"Between Africa, littered with the bloated carcasses of elephants, and the huge stockpiles of the Far East is a trail marked by secrecy and deceit. It is a trail traveled by ruthless poachers, cunning smugglers, corrupt and inept officials, and the barons ";"deceit"
"In recent months the trade has been in retreat. Responding to growing public indignation, many industrialized nations have declared a moratorium on ivory imports.";"retreat"
"Between Africa, littered with the bloated carcasses of elephants, and the huge stockpiles of the Far East is a trail marked by secrecy and deceit. It is a trail traveled by ruthless poachers, cunning smugglers, corrupt and inept officials, and the barons ";"cunning (2)"
"They and their wealthy customers do not understand the high cost of this trade. They do not see the herds mowed down by automatic assault rifles, the tusks frantically hacked from the skulls and the orphaned and wounded elephants left to die.";"frantically"
"Between Africa, littered with the bloated carcasses of elephants, and the huge stockpiles of the Far East is a trail marked by secrecy and deceit. It is a trail traveled by ruthless poachers, cunning smugglers, corrupt and inept officials, and the barons ";"inept"
"They and their wealthy customers do not understand the high cost of this trade. They do not see the herds mowed down by automatic assault rifles, the tusks frantically hacked from the skulls and the orphaned and wounded elephants left to die.";"to mow down"
"According to U.S. Army investigators, Noriega practiced Santeria, a mystic religion, and wore red underwear to fend off the evil eye.";"underwear"
"They and their wealthy customers do not understand the high cost of this trade. They do not see the herds mowed down by automatic assault rifles, the tusks frantically hacked from the skulls and the orphaned and wounded elephants left to die.";"to hack"
"Among the larger bands of poachers, some men are designated as cooks, others as porters, assigned to lug the ammunition, mosquito netting and axes for cutting off tusks.";"ammunition"
"They (Tanzania, Kenya) argue that it will take decades for elephant herds to begin to recover, and that as long as there is any legal trade, the lure of profits will entice poachers and smugglers to beat the system.";"lure"
"Most significant of all, consumers are beginning to understand the link between their ivory baubles and trinkets and the mutilated carcasses from which they came. If regulation fails, consumer revulsion to ivory may be the elephant�s last hope.";"revulsion"
"Most significant of all, consumers are beginning to understand the link between their ivory baubles and trinkets and the mutilated carcasses from which they came. If regulation fails, consumer revulsion to ivory may be the elephant�s last hope.";"trinket"
"Most significant of all, consumers are beginning to understand the link between their ivory baubles and trinkets and the mutilated carcasses from which they came. If regulation fails, consumer revulsion to ivory may be the elephant�s last hope.";"bauble"
"Some frightened poachers dump their tusks into the Ruaha River rather than risk getting caught. But it is late for Tanzania�s elephants. Between 1979 and 1987 their population plummeted from about 316.00 to 85.000.";"to plummet"
"Between Africa, littered with the bloated carcasses of elephants, and the huge stockpiles of the Far East is a trail marked by secrecy and deceit. It is a trail traveled by ruthless poachers, cunning smugglers, corrupt and inept officials, and the barons ";"ruthless"
"Vice President Dumitru Mazilu is also a lifelong communist whose career ground to a halt after he clashed with the dictator.";"to clash"
"The Cruzan petition not only marks the first time the court has grappled with the right-to-die dilemma; it may well be the most wrenching medical case ever argued before the high bench.";"to grapple with"
"The caretaker government set out to erase the most despised features of Ceausescu�s Big Brother regime, but the only cohesive organization left to enforce the new decrees seemed to be the army.";"caretaker government"
"The caretaker government set out to erase the most despised features of Ceausescu�s Big Brother regime, but the only cohesive organization left to enforce the new decrees seemed to be the army.";"to despise"
"Television, which once beamed out only the glory of Ceausescu, then helped topple him, became the heart and voice of the new government.";"to beam out"
"Television, which once beamed out only the glory of Ceausescu, then helped topple him, became the heart and voice of the new government.";"to topple"
"No overhaul of the economy would be undertaken until after  elections, but the caretakers canceled food exports and took steps to improve distribution and relieve widespread shortages.";"overhaul"
"No overhaul of the economy would be undertaken until after  elections, but the caretakers canceled food exports and took steps to improve distribution and relieve widespread shortages.";"to relieve"
"In China the Rumanian revolution was read as a cautionary tale of what could have happened in Beijing last year had the army not crushed the pro-democracy movement.";"to crush"
"The President, Ion Iliescu, 59, is a former Cental Committee secretary who was demoted in the early 1970s after complaining to Ceausescu about nepotism in the party.";"to demote"
"The ashen face of the dictator, eyes open, blood oozing from his head, leaped almost instantly onto TV screens in Rumania and around the world.";"to leap"
"""I do not believe in good or bad communists, just communists. They are all crooks,"" hed said.";"crook"
"Yet even if the party is destined for the trash heap, not all its members -3.8 million before the revolution- can be ruled out of public life, and some may in time prove their worth.";"trash heap"
"That organizing process got haltingly under way last week.";"haltingly"
"Nor could the caretaker government be certain of security. It appealed ""for an end to acts of revenge,"" but Securitate gunmen sniped intermittetly from Bucharest�s rooftops.";"to snip"
"The provisional government issued an ultimatum: ""If they surrender voluntarily with their weapons, they will be tried and the death penalty will not be applied"".";"to try"
"Few secret policemen accepted the offer. With thousands of them, armed and perhaps defiant, unaccounted for, it remained unclear whether they would vanish in the general confusion or carry on some form of guerilla warfare against the sharky government.";"shaky"
"At a rally called to prove his popularity, he was silenced by students shouting ""Ceausescu, assassin!""";"rally (2)"
"The U.S. and the European Community have all pledged to help Rumania mend its wound and have dispatched shipments of food and medicines.";"to pledge"
"Rumania is potentially a prosperous country, but Ceausescu�s compulsion to pay off a $ 10 billion foreign debt led him to sell most of the country�s oil and food production abroad and ration everything at home.";"compulsion"
"In a era of untamed medical technology";"untamed"
"Noriega and Ceausescu pursued quirky impulses.";"quirky"
"According to U.S. Army investigators, Noriega practiced Santeria, a mystic religion, and wore red underwear to fend off the evil eye.";"to fend off"
"But, he added, ""we hope gradually to weed out all the  top officials who supported Ceausescu.""";"to weed out"
"Communist Party officials in Beijing put out a directive telling their cadres how to interpret the revolution that swept across Eastern Europe last year, the result of the subversion of socialism by Soviet President M. Gorbachev.";"to put out"
"Some members of the Front may have thought it a good idea to offer the Rumanian people some blood quickly in order to head off wider vengeance directed against communists in general.";"to head off"
"From the carcass roasting over the fire, the man cut off a succulent piece and handed it to me on a knife.";"to cut off (2)"
"In the final days leading up to the meeting, lobbying efforts by both sides reached a frenzied level. The vote in Lausanne will not be unanimous, and any prohibition of ivory trading will be at best a patchwork.";"to lead up to"
"Euphoria collides with the reality of post-Ceausescu life: unrelenting poverty, political confusion, ethnic tension.";"unrelenting"
"Kitagawa, 47, is a stern man who presides over an industry in turmoil. He was twelve when he was introduced to what has been his family�s business for nearly a century. (ivory business) Only once has Kitagawa been grazed by the ivory scandals of Africa.";"to preside (over)"
"Beijing, a Ceausescu supporter to the end, fretted privately but said only that ""we respect the choice made by the Rumanian people.""";"to fret"
"She has not hugged her mother or gaze out the window or played with her nieces.";"to hug"
"Nurses wedge napkins under her fingers to prevent the nails from piercing her wrists.";"to wedge"
"That same month the distric attorney in Brooklyn, N.Y., decided no to press any charges against three grown children who had turned off their father�s respirator, on the grounds that he  was already brain dead.";"to press charges against somebody"
"At a time when infant mortality is scandalously high and public health care is a shambles, does it make sense for taxpayers to spend tens of thousands of dollars a year to keep each uncounscious patient alive ?";"shambles"
"But the plight of the incurably ill has challenged all these premises and left doctors and nurses deeply divided over their duties to the dying.";"plight"
"He raged at his judges, who were not shown on the tape, insisted that he would answer only to the ""working class"" and refused to address the prosecutor�s charges that he had destroyed Rumania.";"to rage"
"He raged at his judges, who were not shown on the tape, insisted that he would answer only to the ""working class"" and refused to address the prosecutor�s charges that he had destroyed Rumania.";"prosecutor"
"The ashen face of the dictator, eyes open, blood oozing from his head, leaped almost instantly onto TV screens in Rumania and around the world.";"ashen"
"Some poachers are tribal villagers, illiterate and poor, who stalk their prey on foot, walking for weeks, living off game. A poacher in Kenya buries his tusks in the village latrine or hides them in a nearby cave. He sells them for a pittance to a respect";"to live off/on"
"One by one, the rejected leaders of the former Soviet satellites, abandoned by Moscow, promised free elections- and more or less faded into oblivion.";"to sink/fall into oblivion"
"The Berlin Wall came tumbling down; the cold war ended.";"to be tumbling down"
"Returning from Tehran, Ceausescu found that demonstrations had flared throughout the country and into Bucharest, where he came face to face with rebellion in Palace Square, outside his office.";"to flare up"
"The images that linger are those of naked bodies lying in rows on the ground, many with their ankles tied together with barbed wire. One is a seven-month fetus on the torso of its disemboweled mother.";"to linger"
"The images that linger are those of naked bodies lying in rows on the ground, many with their ankles tied together with barbed wire. One is a seven-month fetus on the torso of its disemboweled mother.";"disembowel"
"The images that linger are those of naked bodies lying in rows on the ground, many with their ankles tied together with barbed wire. One is a seven-month fetus on the torso of its disemboweled mother.";"torso"
"China�s blatant attempt to intimidate Taiwan before its first democratic presidential election, on March 23rd, suddenly has East Asia�s most populous power eyeball-to-eyeball with its fourth-largest economic power, with all the damage that an accidental c";"to stand eyeball-to-eyeball with sb."
"If China is allowed to get away with bullying Taiwan, the security of one of the world�s most dynamic, and potentially richest, regions will be in jeopardy. Yet standing up more stoutly to an increasingly pushy China will take the sort of clear thinking a";"to bully"
"If China is allowed to get away with bullying Taiwan, the security of one of the world�s most dynamic, and potentially richest, regions will be in jeopardy. Yet standing up more stoutly to an increasingly pushy China will take the sort of clear thinking a";"stoutly"
"China�s row with the Phillipines last year over reefs in the South China Sea produced only a belated and barely audible squeak of protest from Washington.";"belated"
"China�s blatant attempt to intimidate Taiwan before its first democratic presidential election, on March 23rd, suddenly has East Asia�s most populous power eyeball-to-eyeball with its fourth-largest economic power, with all the damage that an accidental c";"blatant"
"It is not just that the East Asians are wary of attracting mighty China�s wrath - though they are. They had hoped, as western government had, that reforms at home, combined with fast-growing trade with the outside world, would give China a big enough econ";"wrath"
"It is not just that the East Asians are wary of attracting mighty China�s wrath - though they are. They had hoped, as western government had, that reforms at home, combined with fast-growing trade with the outside world, would give China a big enough econ";"bust-up **"
"The growing gap between the two societies, and between governments on either side of the Strait, will make it extremely difficult to restore the calm. But it is clear that if the crisis is to be defused the two sides will have to start talking again.";"to defuse the situation"
"America�s voter turnout has long been dreadful., and Oregon is no exception. In 1994, 38% of Oregon�s eligible voters cast their ballots in the May primary and 56% voted in the general election in November.";"dreadful"
"It is not just that the East Asians are wary of attracting mighty China�s wrath - though they are. They had hoped, as western government had, that reforms at home, combined with fast-growing trade with the outside world, would give China a big enough econ";"mighty"
"But money-making has not proved enough of a distraction for the newly assertive China. Meanwhile, other pressures have been at work that now make the China-Taiwan tiff too dangerous to shrug off, as East Asia�s governments are still trying to do, as an ""i";"tiff"
"If China is allowed to get away with bullying Taiwan, the security of one of the world�s most dynamic, and potentially richest, regions will be in jeopardy. Yet standing up more stoutly to an increasingly pushy China will take the sort of clear thinking a";"pushy=pushful"
"A study by the National Bureau of Economic Research found that the cost of locking up a violent criminal was much less than the cost of the mayhem he would probably have committed.";"to lock up (in)"
"Under the chapter, employers and union organisations in Brussels themselves agreed on an entitlement to 12 weeks unpaid paternity leave after the birth or adoption of a child, and time off for urgent family reasons.";"entitlement"
"Others go further and want to revamp the social chapter by giving the EU new areas of competence in social policy, or by extending qualified majority voting to areas currently requiring unanimity, such as social security.";"to revamp"
"And although blacks comprise only 13% of the population, they account for almost half the country�s 1.4m inmates (in prison).";"inmate"
"Why, then, do Americans continue to vote for those who vow to lock yet more people away? One reason is that fear of crime does not diminish, even when the incidence of crime falls.";"incidence"
"The other two-thirds came from jailing people for offences that did not require prison sentences in the past. In particular, the war on drugs has crammed America�s prisons with non-violent petty criminals.";"to cram"
"The other two-thirds came from jailing people for offences that did not require prison sentences in the past. In particular, the war on drugs has crammed America�s prisons with non-violent petty criminals.";"petty criminal"
"For example, under federal law the possession of five grammes of cocaine powder is a misdemeanour that carries a maximum prison sentence of a year. Possession of five grammes of crack cocaine, though, is a felony that carries a mandatory five-year sentenc";"misdemeanour"
"Oregonians have cast their ballots by mail in local elections since 1981. The new process saves the state money; but the main purpose behind it was to expand the franchise to many voters who cannot  vote in the traditional manner.";"franchise"
"There are better and more creative ways of dealing with many criminal misfits.
One would be to try to cut the demand for drugs rather than the supply.";"misfit"
"Oregonians have cast their ballots by mail in local elections since 1981. The new process saves the state money; but the main purpose behind it was to expand the franchise to many voters who cannot  vote in the traditional manner.";"to cast a vote"
"The message therefore needs to be conveyed - and not just by America, but by East Asians and Eruropeans too - that a lunge for Taiwan or an attempt to strangle its economy would make China an economic as well as political outcast: such loutishness should ";"outcast"
"The message therefore needs to be conveyed - and not just by America, but by East Asians and Eruropeans too - that a lunge for Taiwan or an attempt to strangle its economy would make China an economic as well as political outcast: such loutishness should ";"lunge"
"The message therefore needs to be conveyed - and not just by America, but by East Asians and Eruropeans too - that a lunge for Taiwan or an attempt to strangle its economy would make China an economic as well as political outcast: such loutishness should ";"loutish"
"This time, to its credit, America has responded swiftly and prudently. By moving two aircraft carriers close to Taiwan, it has sent au unmistakable signal that it will not allow Taiwan to be toyed with at China�s whim.";"whim"
"China�s row with the Phillipines last year over reefs in the South China Sea produced only a belated and barely audible squeak of protest from Washington.";"squeak"
"A study by the National Bureau of Economic Research found that the cost of locking up a violent criminal was much less than the cost of the mayhem he would probably have committed.";"mayhem"
"China might choose to turn a partial blockade into a full one: Taiwan, which relies upon open sea-lanes for its imports of oil, coal and steel, would be hobbled overnight.";"to hobble"
"For example, under federal law the possession of five grammes of cocaine powder is a misdemeanour that carries a maximum prison sentence of a year. Possession of five grammes of crack cocaine, though, is a felony that carries a mandatory five-year sentenc";"felony"
"France�s defence minister, Charles Millon, is right: the plan, announced by President Chirac, to revamp both France�s armed forces and its weapons industry marks a ""revolution"" in French defence thinking.";"to revamp"
"China has branded President Lee the ""harlot of history"" for his supposedly splittist tendencies.";"to brand"
"Worse for Spain, the country may now enter a period of weak and wishy-washy government, with parties and factions vying for advantage, terrorists and regionalists stirring the pot, and no person and no new set of ideas emerging as the dynamo for rejuvenat";"wishy-washy"
"An era may have ended. Spain�s Socialists, for the time being, are out. But the heralded new dawn of conservatism, let alone radical conservatism, is not at hand.";"dawn"
"An era may have ended. Spain�s Socialists, for the time being, are out. But the heralded new dawn of conservatism, let alone radical conservatism, is not at hand.";"to herald"
"Thanks to the awkward shape of its mixed conscript-cum-professional army, it could barely muster 15,000 worthwhile troops. Even then it was (Gulf war of 1991) embarrassinglly ineffectual.";"ineffectual"
"Its (France) nuclear deterrents�s land-based part will be scrapped, the procurement budget slashed by a fith, France�s old ideal of self-sufficiency in all weapons abandoned, its cumbrous arms industry completely overhauled.";"to scrap"
"Worse for Spain, the country may now enter a period of weak and wishy-washy government, with parties and factions vying for advantage, terrorists and regionalists stirring the pot, and no person and no new set of ideas emerging as the dynamo for rejuvenat";"to stir"
"Its (France) nuclear deterrents�s land-based part will be scrapped, the procurement budget slashed by a fith, France�s old ideal of self-sufficiency in all weapons abandoned, its cumbrous arms industry completely overhauled.";"cumbrous = cumbersome"
"In theory, Mr Gonzalez could still try to cobble together a coalition of his own, which could deny Mr Aznar his working majority and even present itself as a ruling alternative.";"to cobble together"
"They (investment banks) can gamble in two ways. First, some have proprietary trading desks, which by buying and selling securities make straightforward wagers on financial markets.";"wager"
"In 1994, as those markets dropped, the banks lost heavily. Now, like reformed punters vowing never to go near another roulette wheel, many insist that those days are gone.";"to vow"
"In 1994, as those markets dropped, the banks lost heavily. Now, like reformed punters vowing never to go near another roulette wheel, many insist that those days are gone.";"punter"
"If one thing is guaranteed to rile investment bankers, it is being likened to common gamblers. Yet even the staidest will admit that the simile occasionally rings true.";"simile"
"If one thing is guaranteed to rile investment bankers, it is being likened to common gamblers. Yet even the staidest will admit that the simile occasionally rings true.";"staid"
"If one thing is guaranteed to rile investment bankers, it is being likened to common gamblers. Yet even the staidest will admit that the simile occasionally rings true.";"to rile*"
"Its (France) nuclear deterrents�s land-based part will be scrapped, the procurement budget slashed by a fith, France�s old ideal of self-sufficiency in all weapons abandoned, its cumbrous arms industry completely overhauled.";"to slash"
"Despite the shakiness of its economy, the Socialists even managed to win a regional election in Mr Gonzalez�s backyard, Andalusia. With left-wing parties still corralling more than half the vote nationwide, the heart of Spain still, it seems, beats a shad";"shakiness"
"China might choose to turn a partial blockade into a full one: Taiwan, which relies upon open sea-lanes for its imports of oil, coal and steel, would be hobbled overnight.";"lane"
"Mr Jupp� sought to placate the unions by offering fresh talks on  the reforms, clarification of several misunderstandings, and a few apparent concessions. 
Such concessions look relatively modest. Will they be enough to buy the unions off?";"to placate"
"An attempted invasion (from China) would be horribly bloody. Although Taiwan could probably stave off all but the most determined attack, the cost to the island would be severe.";"to stave off"
"Nobody in authority, on either side of the strait, is willing to suggest that China is close to war with Tawain, let alone with America.";"strait"
"The source of the scare lies offshore in the Taiwan Strait, where China�s military exercises reflect the rage of the Communist leadership in Beijing. China regards Taiwan as a rebellious province and fears it is moving towards a declaration of independenc";"scare"
"Many people in the outlying regions, especially Basques and Catalans, still suspect that the right (Aznar) wants to shut them up.";"to shut up"
"Worse for Spain, the country may now enter a period of weak and wishy-washy government, with parties and factions vying for advantage, terrorists and regionalists stirring the pot, and no person and no new set of ideas emerging as the dynamo for rejuvenat";"to vie"
"Despite the shakiness of its economy, the Socialists even managed to win a regional election in Mr Gonzalez�s backyard, Andalusia. With left-wing parties still corralling more than half the vote nationwide, the heart of Spain still, it seems, beats a shad";"backyard"
"China has branded President Lee the ""harlot of history"" for his supposedly splittist tendencies.";"harlot  (obsolete word)"
"The puzzle of the election is why Mr Gonzalez, with unemployment officially stuck at 23% and his government mired in corruption, did as well as he did.";"to mire"
"The Catalans might abstain, allowing Mr Aznar to form a government, but a limp one.";"limp"
"After Mr Gonzalez won the 1993 election without securing an outright majority, the Catalan leader made a pact with him, whereby Mr Pujol propped up the minority government but refused to form a coalition. Mr Aznar is now looking glumly at a similar deal. ";"bedraggled"
"After Mr Gonzalez won the 1993 election without securing an outright majority, the Catalan leader made a pact with him, whereby Mr Pujol propped up the minority government but refused to form a coalition. Mr Aznar is now looking glumly at a similar deal. ";"glumly"
"After Mr Gonzalez won the 1993 election without securing an outright majority, the Catalan leader made a pact with him, whereby Mr Pujol propped up the minority government but refused to form a coalition. Mr Aznar is now looking glumly at a similar deal. ";"to prop up"
"Now his (Gonzalez) most likely aim is to watch Mr Aznar from the sidelines, chuckling as the new man ties himself in knots trying against the odds to run a coherent government.";"to chuckle"
"Despite the shakiness of its economy, the Socialists even managed to win a regional election in Mr Gonzalez�s backyard, Andalusia. With left-wing parties still corralling more than half the vote nationwide, the heart of Spain still, it seems, beats a shad";"to corral"
"Many retailers are trying to boost profits by persuading customers to buy cheaper (but higher-margin) goods as well as the computer itself. But what varies is the nature of the extras they sell.";"to boost"
"In Japan, where PC sales shot up by 70% last year, price wars drove several computer shops into bankruptcy. Expansion and unsold stock cost Escom, Germany�s biggest retailer, a thumping loss of DM 125m for 1995.";"thumping**"
"A government white paper that was to have proposed extra bank freedoms was delayed, in late March, by wrangling over two issues. Banks had expected to be granted the right to sell insurance through their 6,000-odd branches.";"to wrangle (about/over)"
"Mr Pujol�s support for the last Socialist administration cost him votes because of its corrupt image. So Mr Pujol has been obliged to haggle hard over the new government.";"to haggle (over)"
"While the East Asian tigers have already forged ahead with export-led manufacturing booms, India has remained poor, inward-looking and overwhelmingly agricultural.";"to forge ahead"
"In most countries, it is thought that a large number of buyers are still poised to buy their first computer. This should keep retailers happy for several years to come. Britain, for instance, saw a huge buying spree last Christmas.";"spree"
"In most countries, it is thought that a large number of buyers are still poised to buy their first computer. This should keep retailers happy for several years to come. Britain, for instance, saw a huge buying spree last Christmas.";"to be poised"
"As thousands took to the streets in protest on May Day, the Chancellor must be hoping that the opposition will ebb away and that his country�s much-admired consensus model of government will enable Germany to reform itself smoothly, as it has done in the ";"to ebb away"
"A third category consists of stationers, such as Office Depot, which sell computer systems as if they were razors- except that, instead of returning for more blades, computer users come back in order to buy printer cartridges, paper, diskettes and little ";"to mop"
"One example is Continental Illinois, a bad-debt-laden American bank that ran into trouble in 1984 after several Asian and European banks cut their lending to it. When rumours began to fly that other American banks might suffer the same fate, the Fed stepp";"to step in"
"CompUSA and Computer City pack their stores with products in order to offer shoppers the widest possible choice. But although this appeals to consumers who have some idea of what they want, most first-time buyers crave some guidance through the jumble.";"jumble"
"On the same day, Robert Johnson, district attorney (DA) for New York city�s crime-ridden Bronx, irked the governor by saying that he would not call for the death penalty under any circumstances. Mr Johnson�s resolve was put to the test this month when, in";"to call for"
"A lot of the suspicions that surround intensive-farming techniques boil down to a distrust of technology in general. For example, many consumers take fright if they learn that their food has been irradiated with gamma rays, or that their beef has been rea";"to boil down to"
"Normally aid-giving governments fall in with the IMF�s analyses and withold funds until its medecine has been swallowed by the government concerned.";"to fall in with"
"CompUSA and Computer City pack their stores with products in order to offer shoppers the widest possible choice. But although this appeals to consumers who have some idea of what they want, most first-time buyers crave some guidance through the jumble.";"to crave"
"Against such competition (sales through telephone), retailers have to muster other traditional selling skills, such as choice and service.";"to muster"
"One of the government�s many mistakes in trying to implement its policies has been to fight too many battles at once.
But the result has been to produce an unmanageable coalescence of different grievances and fears. The  government is now belatedly tryin";"belatedly"
"What retailers fear most is that the computer will lose its novelty value. In the United States, many stores are starting to find PC sales easing off. Retailers face a squeeze as the rate at which they build new capacity starts outpace the rate at which c";"to ease off"
"But Mr Mehta points out that, for all its success, India�s software industry is still a minnow -supplying just 0.5% of the world market.";"minnow"
"Two questions remain uppermost in people�s minds. First, did they or their families become infected with the human equivalent of BSE during the 1980s, before the government introduced measures to prevent suspect material entering the food chain?";"uppermost"
"The Labour Party charges the government with ""reckless disregard"" for public safety and excessive zeal for deregulation.   ....
It is unfair to accuse the Tories of recklessness, and fatuous to connect the BSE scare with deregulation.";"fatuous"
"The Labour Party charges the government with ""reckless disregard"" for public safety and excessive zeal for deregulation. The Tories reply with accusations of scaremongering. British beef is safe, the government says.";"scaremonger"
"The Labour Party charges the government with ""reckless disregard"" for public safety and excessive zeal for deregulation. The Tories reply with accusations of scaremongering. British beef is safe, the government says.";"reckless"
"The initial shock of last week�s revelations about the transmissibility of mad-cow disease to humans has faded. Unfortunately, it is giving way not to a sober assessment of choices, but to a party-political quarrel of dipiriting, albeit predictable, vapid";"to dispirit"
"The initial shock of last week�s revelations about the transmissibility of mad-cow disease to humans has faded. Unfortunately, it is giving way not to a sober assessment of choices, but to a party-political quarrel of dipiriting, albeit predictable, vapid";"vapidity"
"""We expect the generality of prices to continue to fall, particularly for domestic customers..."" If the savings are passed on to consumers, that may be right. But in view of what has happened since privatisation, it would be unwise to bank on this.";"to bank on (1)"
"India produces 20,000 computer-science graduates a year, but demand is already so high that the industry�s wages are rising by 20% a year. The industry�s relentless expansion and the lure of still higher wages in the West, means that keeping people has be";"relentless"
"In Japan, where PC sales shot up by 70% last year, price wars drove several computer shops into bankruptcy. Expansion and unsold stock cost Escom, Germany�s biggest retailer, a thumping loss of DM 125m for 1995.";"to shoot up"
"As Insofy�s clients leave their offices in America at the end of the working day, they e-mail Bangalore with their software problems. As the Americans sleep, the Indians work on solutions, and squirt them back by America�s breakfast time.";"to squirt"
"Step inside the headquarters of Infosys, one of the largest Indian software firms with sales of more than $28m last year, and you could be in California. Employees sit hunched over their screens, or chat by the coffee machine. Step outside the Infosys cam";"to meander"
"Step inside the headquarters of Infosys, one of the largest Indian software firms with sales of more than $28m last year, and you could be in California. Employees sit hunched over their screens, or chat by the coffee machine. Step outside the Infosys cam";"squatter"
"he sat hunched over his books (dict.)
Step inside the headquarters of Infosys, one of the largest Indian software firms with sales of more than $28m last year, and you could be in California. Employees sit hunched over their screens, or chat by the coffe";"to hunch over"
"When capital flows taper off, the temptation for government officials is to dip into reserves, sterilising their intervention to avoid a contractionary effect on monetary policy.";"to taper off"
"Also helping to improve the quality and prospects of Britain�s high-tech newcomers is a growing informal network....
The hub of this network is Cambridge, where a steady stream of new ventures, ranging from genetics to electronics, is flowing out of univ";"to flow across, along, away, etc."
"The current wavering over a selective cull of Britain�s cattle is being presented not as a matter of balancing cost against additional safety -which is how it should be judged- but as a question of how to ""restore confidence"".";"wavering"
"Another problem is that one of the things that made Bangalore attractive in the first place- its congenial surroundings- is changing as industrial growth brings power cuts, clogged roads and soaring poperty prices.";"to clog"
"For the European leaders who gather in Madrid on December 15th for the six-monthly summit of the European Union, that prospect is soothing (that the government will win the showdown).";"soothing"
"Many computers -15% of the total in America and 28% in Britain, according to Dataquest, a consultancy- are sold over the telephone or by mail. That keeps overheads low. The advertising for such sales tends to be minimal.";"overheads"
"Although the NCAA unblushingly refers to big-time men�s football and basketball as the ""revenue sports"", it also insists that potecting players from the hazards of a regular pay-cheque is essential if the distinction between amateur college sports and the";"unblushingly"
"And China will see the point of talking only if it is convinced that it stands to lose less by talking than by gunfire. By contrast, appeasing China over Taiwan will only feed China�s appetite for trouble.";"to appease"
"The main worry is not so much that the government will fudge its reforms but that the strikes will overwhelm them by sheer force of public opinion.";"to fudge"
"So long as private-sector workers remain aloof, as they are likely to, given that the reforms propose nothing for the public sector that others do not already live with, then the strikes will remain what they are now: a powerful protest by an influential ";"showdown"
"So long as private-sector workers remain aloof, as they are likely to, given that the reforms propose nothing for the public sector that others do not already live with, then the strikes will remain what they are now: a powerful protest by an influential ";"aloof"
"The student-athlete system is also dishonest in other ways. Under current law, college sports teams do not have to pay entertainment tax on their profits, because they are considered to be educational institutions.";"entertainment tax"
"So long as private-sector workers remain aloof, as they are likely to, given that the reforms propose nothing for the public sector that others do not already live with, then the strikes will remain what they are now: a powerful protest by an influential ";"unrest"
"Second, the Union is woefully undemocratic. The obvious remedy, the European Parliament, seems unable to rectify matters and offers no evidence that the extra powers it constantly craves would help.";"to crave"
"The country is undergoing the sort of welfare-state reform that Britain and (to a lesser extent) Germany pushed through in the 1980s, and without it France�s welfare system will go bust.";"to go bust"
"The obvious was never likely to be easy; there are too many social and economic disparities between the European Union�s member states. There are also deeper rifts; sceptical Britain and Denmark have both won the right to opt out from EMU.";"rift"
"To reassure them, the president of the Bundesbank, Hans Tietmeyer, and the finance minister, Theo Waigel, are competing with each other to stress that the economic convergence criteria must be strictly adhered to before EMU can happen: there will be no no";"wink"
"To reassure them, the president of the Bundesbank, Hans Tietmeyer, and the finance minister, Theo Waigel, are competing with each other to stress that the economic convergence criteria must be strictly adhered to before EMU can happen: there will be no no";"nod"
"Would France abandon the Maastricht criteria for economic and monetary union, blowing EMU apart and precipitating a crisis in the European Union? Might President Jacques Chirac junk his prime minister? Or call a snap general election?";"to junk"
"Would France abandon the Maastricht criteria for economic and monetary union, blowing EMU apart and precipitating a crisis in the European Union? Might President Jacques Chirac junk his prime minister? Or call a snap general election?";"snap"
"The current wavering over a selective cull of Britain�s cattle is being presented not as a matter of balancing cost against additional safety -which is how it should be judged- but as a question of how to ""restore confidence"".";"cull"
"East Asia�s governments squirm when faced with such plain speaking. Yet helping America to hold China to the rules of peaceable behaviour is the only way to preserve the stability on which the region�s continued prosperity depends.";"to squirm"
"In fact, when the West shouts about human rights in China, the Chinese quite often buckle: a recent example was the release of a Chinese-American human-rights activist, Harry Wu. Since the West wants the Chinese to observe international norms, the United ";"to buckle to*"
