ID_Idiom;Idiom;Definition;Example;DateEntry;RandomNumber;Counter;Cumul;language
149;a borbotones;violentamente y con discontinuidad;Mientras me afeitaba, me corté la barbilla, y la sangre empezó a manar a borbotones.;21.02.1999 00:00;800;0;0;s
150;cubrirse las espaldas;contar, al acometer una empresa, con seguridades que le garanticen contra cualquier riesgo;Una cosa es la valentía y otra -muy distinta- la insensatez. No te das cuenta de que, por meterse en esa empresa, hace falta primero cubrirse las espaldas? Ya tendrás tiempo de realizar ese proyecto en el futuro.;21.02.1999 00:00;607;0;1;s
151;dans la fleur de l'âge;"Époque de sa vie où l'on est dans toute sa force; première jeunesse; printemps de la vie.";C'était une tante de ma grand-mère. Comme elle est morte dans la fleur de l'âge, elle a laissé beaucoup de regrets, et on en parle encore dans la famille.;21.02.1999 00:00;800;0;0;f
152;entre deux âges;"ni jeune ni vieux; d'un âge difficile à déterminer";C'est un homme entre deux âges, mais il a encore l'air jeune. Je lui donnerais une quarantaine d'années.;21.02.1999 00:00;800;0;0;f
153;l'âge ingrat;la période de la puberté. Dans le même sens: l'âge bête.;Il n'est pas méchant, mais il traverse cet âge difficile, entre l'enfance et l'adolescence, qu'on appelle justement l'âge ingrat. Il faut vous efforcer de le comprendre et de gagner sa confiance.;21.02.1999 00:00;353;0;1;f
154;l'âge d'or;une époque heureuse, prospère, florissante.;L'époque de la prohibition aux États-Unis fut l'âge d'or des contrebandiers et de la mafia.;21.02.1999 00:00;145;0;1;f
155;être aux aguets;"être sur ses gardes; rester en éveil; surveiller.";"Au début de l'automne, je suis continuellement aux aguets; dès qu'il y a menace de gel, je casse mes tomates et je les rentre.";21.02.1999 00:00;800;0;0;f
156;chercher une aiguille dans une botte de foin.;chercher une chose très difficile, sinon impossible à trouver.;J'ai essayé de retrouver l'article dont je vous avais parlé. Mais autant chercher une aiguille dans une botte de foin. Vous comprenez, avec le nombre de journaux que je lis.;21.02.1999 00:00;800;0;0;f
157;a tire-d'aile;très rapidement. Au sens propre, se dit de l'oiseau qui avance avec toute la force de ses ailes.;L'an dernier, il était encore bien et assez fort, mais à son âge, vous savez, la vieillesse fonce sur nous à tire-d'aile.;21.02.1999 00:00;800;0;0;f
158;avoir du plomb dans l'aile.;"être gravement atteint; être diminué, physiquement ou moralement. Allusion à l'oiseau blessé à l'aile par un chasseur.";Il est remis de son accident, du moins dans la mesure où on peut se remettre de blessures aussi graves. Mais il a du plomb dans l'aile, et il devra toujours se ménager.;21.02.1999 00:00;800;0;0;f
159;battre de l'aile;avoir perdu une partie de sa force, de sa puissance. La locution complète , à l'origine était ne battre que d'une aile, par allusion à l'oiseau blessé qui essaie de voler avec une seule aile.;Ses affaires ne vont pas bien. Depuis la grève de l'an dernier, l'entreprise bat de l'aile, et je ne serais pas surpris qu'il fasse faillite.;21.02.1999 00:00;800;0;0;f
160;se brûler les ailes;perdre son crédit, sa réputation, dans une mésaventure, une mauvaise affaire. Allusion au papillon qui, s'étant brûlé à la flamme, ne peut plus voler.;Il s'est brûlé les ailes lors de la grève des cheminots. Il leur avait fait des promesses, mais après trois semaines, ils ont dû retourner au travail sans avoir rien obtenu.;22.02.1999 00:00;800;0;0;f
161;voler de ses propres ailes;Être en état d'agir sans l'aide, le secours ou les conseils des autres. Allusion à l'oiseau qui commence à voler seul.;Mon fils a fini ses études et il a commencé à travailler. Il peut maintenant voler de ses propres ailes, il n'a plus besoin de moi.;22.02.1999 00:00;800;0;0;f
162;en l'air;se dit généralement de paroles, propos, promesses, projets, ou autres choses du même genre, qui ne méritent pas d'être prises au sérieux ou qu'0n considère comme frivoles.;Quand il dit, comme ca, qu'il va abandonner ses études pour se marier et travailler, il ne faut pas le prendre au sérieux. Ce sont des paroles en l'air auxquelles il est le premier à ne pas croire.;22.02.1999 00:00;800;0;0;f
163;vivre de l'air du temps;vivre sans travailler, sans revenus assurés. Dans le même sens: vivre d'amour et d'eau fraîche;Il y a des jeunes qui ne préparent pas leur avenir. Ils s'imaginent que, plus tard, le gourvernement va les faire vivre, ou qu'ils vont vivre de l'air du temps.;27.02.1999 00:00;800;0;0;f
164;en parler à son aise;formule qu'on emploie pour reprocher à quelqu'un de ne pas connaître les difficultés, les ennuis des autres, et de raisonner comme si ces ennuis n'existaient pas.;Il ne trouve pas que les impôts sont élevés! Il peut en parler à son aise, lui, avec les revenus qu'il a. Mais il verrait les choses autrement s'il était dans la situation d'un pauvre homme comme moi.;27.02.1999 00:00;800;0;0;f
165;en prendre à son aise;agir à sa guise, avec désinvolture, faire ce qui nous plaît, sans se soucier de ce que pensent ou disent les autres.;Il y a un règlement qui défend de fumer dans les salles de cours, mais les étudiants en prennent à leur aise avec les règlements.;27.02.1999 00:00;800;0;0;f
166;c'est de l'algèbre pour moi;même sens que c'est du chinois;Je me considère comme un homme cultivé, mais je vous avoue que le structuralisme, le marxisme, le freudisme, tout cela c'est de l'algèbre pour moi, et je ne m'en porte pas plus mal.;27.02.1999 00:00;800;0;0;f
167;de bon aloi;de bonne qualité. S'est dit d'abord de l'alliage des métaux précieux. Dans le sens contraire: de mauvais aloi.;Il aime bien se moquer un peu de ses amis et même faire de mots d'esprit à leurs dépens. Mais il n'est pas méchant et ses plaisanteries sont toujours de bon aloi.;27.02.1999 00:00;800;0;0;f
168;attendre que les alouettes nous tombent rôties dans le bec;ne rien faire pour obtenir ce qu'on veut, pour arriver à ses fins, pour satisfaire ses besoins: s'en remettre aux autres ou au hasard.;Il n'a fait aucune démarche pour se trouver un emploi. S'il attend que les alouettes lui tombent rôties dans le bec, il va rester longtemps chômeur.;27.02.1999 00:00;290;0;1;f
169;un alter ego;personne en qui on a pleine confiance, par qui on peut se faire remplacer. Du latin: un autre soi-même.;Vous pouvez parler devant lui. C'est plus que mon secrétaire, c'est mon alter ego.;27.02.1999 00:00;145;0;1;f
170;à fendre l'âme;"a faire pleurer; à exciter la pitié, la compassion.";Lorsque les policiers sont venus arrêter son mari, la pauvre femme s'est mise à pousser des cris à fendre l'âme.;27.02.1999 00:00;151;0;1;f
171;corps et âme;"en y mettant tout son coeur, son énergie, son dévouement; entièrement; complètement.";Hélas! il me reste bien peu de temps pour écrire. J'aime beaucoup l'enseignement et je me donne corps et âme à ma tâche.;27.02.1999 00:00;388;0;1;f
172;en son âme et conscience;avec la plus grande sincérité. Vieille formule de droit qui avait la valeur d'un serment.;Ne croyez pas le mal qu'on peut dire de lui. Je le connais bien et je puis vous assurer en mon âme et conscience qu'il est digne de votre confiance.;27.02.1999 00:00;8;0;1;f
173;pas âme qui vive;personne;Si les gens l'on su, ce n'est pas par moi. Je n'en ai parlé à âme qui vive.;27.02.1999 00:00;381;0;1;f
174;une belle, bonne âme;une personne simple, bien intentionnée. Si dit souvent avec ironie des gens sensibles ou qui veulent trop bien faire.;Toutes les fins de semaine, ce sont des hécatombes sur nos routes. Les bonnes âmes s'en affligent, mais ca ne change rien.;27.02.1999 00:00;800;0;0;f
175;vivre d'amour et d'eau fraîche;ne pas se soucier des conditions matérielles de la vie, comme les amoureux à qui l'être aimé suffit, et qui n'ont pas d'autres désirs, d'autres besoins.;Depuis qu'il est marié, il néglige son bureau. Il devrait pourtant savoir qu'on ne vit pas toute sa vie d'amour et d'eau fraîche..;27.02.1999 00:00;355;0;1;f
176;bon an, mal an;"en moyenne, les bonnes années compensant pour les mauvaises; que ca aille bien ou que ca aille mal.";Il y a des années où la récolte est moins bonne, mais on peut dire que bon an, mal an, sa ferme lui assure un revenu très satisfaisant.;27.02.1999 00:00;353;0;1;f
177;être serrés comme des anchois;même sens que comme des sardines.;Les réfugiés arrivaient par centaines. On les entassait dans des baraques où ils étaient serrés comme des anchois, mais au moins,  ils étaient à l'abri de la pluie et du froid.;27.02.1999 00:00;208;0;1;f
178;le bonnet d'âne;bonnet en papier avec des cornes imitant les oreilles d'un âne et qu'on placait sur la tête des élèves paresseux, durant la classe, pour leur faire honte.;Je corrige des copies d'examens. Si j'étais le ministre de l'Éducation, dans bien des cas, ce n'est pas un diplôme que je donnerais à ces élèves, mais un bonnet d'âne.;28.02.1999 00:00;673;0;;f
179;c'est un ange qui passe;remarque qu'on fait lorsqu'au cours d'une conversation un silence se produit, à propos de rien. La formule viendrait des couvents de jeunes filles.;Tiens! Il n'y a plus personne qui parle tout à coup. Ce doit être un ange qui passe. Pour revenir à mon propos...;28.02.1999 00:00;800;0;;f
180;être aux anges;être content, heureux, ravi;Depuis que son mari est maire de la ville, elle est aux anges. C'était son rêve à elle beaucoup plus, j'en suis sûr, qu'à lui.;28.02.1999 00:00;800;0;;f
181;une patience d'ange;une patience inlassable;Sa femme est nerveuse, neurasthénique, acariâtre. Mais il a une patience d'ange et il la supporte.;28.02.1999 00:00;800;0;;f
182;filer, partir à l'anglaise;partir discrètement, sans prendre congé. Il est intéressant de noter que les Anglais disent: To take French leave, filer à la francaise.;Il faut que je rentre de bonne heure. Si vous le permettez, je vais filer à l'anglaise. Si je salue vos invités, je pourrais donner le signal du départ.;28.02.1999 00:00;800;0;;f
183;il y a anguille sous roche;Il y a, en dessous de cela, quelque chose de caché, de mystérieux, de louche, d'inquiétant.;Lorsqu'un pays propose de mettre fin aux armements nucléaires, les autres se demandent s'il est sincère, s'il n'a pas quelque intention secrète, s'il n'y a pas anguille sous roche, et ils se méfient.;28.02.1999 00:00;800;0;;f
184;chanter toujours la même antienne;toujours dire, répéter la même chose. Dans le chant liturgique, l'antienne a le sens de refrain.;Quand nous partons en excursion, la mère nous chante toujours la même antienne: soyez prudents, prenez des vêtements chauds, ne revenez pas trop tard.;28.02.1999 00:00;800;0;;f
185;être aux antipodes de qn. ou qch.;être à l'extrême opposé. Au sens propre: peuple qui habite un point du globe diamétralement opposé à un autre.;Comment voulez-vous qu'ils puissent s'entendre? Sur presque toutes les questions ils sont aux antipodes l'un de l'autre.;28.02.1999 00:00;408;0;;f
186;être l'apanage de qn. ou qch.;"être son privilège; lui être réservé.";On prétend que pendant longtemps les études universitaires ont été l'apanage des classes aisées. Mais aujourd'hui, elles sont accessibles à tous les jeunes qui ont du talens, qu'ils soient riches ou pauvres.;28.02.1999 00:00;800;0;;f
187;être à son apogée;être au sommet, au point le plus élevé d'une vie, d'une carrière. Terme d'astronomie: la lune est à son apogée lorsqu'elle est au point le plus éloighé de la terre: être à son zénith.;Il est à l'apogée de sa gloire: ses livres sont traduits dans toutes les langues et on écrit des thèses universitaires sur son oeuvre.;28.02.1999 00:00;800;0;;f
188;couper l'arbre pour avoir le fruit;jouir tout de suite d'une richesse en en tarissant la source.;Si on ne veut pas épuiser les lacs en quelques années, il faut réglementer la pêche sportive. Autrement, ce serait couper l'arbre pour avoir le fruit.;28.02.1999 00:00;800;0;;f
189;avoir plusieurs cordes à son arc;disposer de plusieurs moyens pour atteindre un but, pour réussir, pour parvenir à ses fins, comme l'archer qui a plusieurs cordes de rechange pour remplacer celles qui se cassent.;Il a pris une licence en droit et une licence en administration. Ainsi, il aura plus d'une corde à son arc.;28.02.1999 00:00;800;0;;f
190;en avoir pour son argent;locution ironique pour dire qu'on en a plus qu'on en voudrait, qu'on est excédé, qu'on en a trop.;Oui, ce fut tout un examen. Nous en avons eu pour notre argent: dix questions toutes plus difficiles les unes que les autres.;28.02.1999 00:00;800;0;;f
191;jeter l'argent par les fenêtres;gaspiller, dépenser de facon exagérée et inutile.;S'il continue à jeter l'argent par les fenêtres, la fortune que son père lui a laissé ne durera pas longtemps.;28.02.1999 00:00;800;0;;f
192;ne pas revoir la couleur de son argent;s'emploie pour prédire qu'on ne sera jamais remboursé pour ce qu'on a prêté à quelqu'un.;Je lui avais prêté une assez forte somme pour lancer cette affaire, mais comme il vient de faire faillite, je suis bien sûr que je ne reverrai jamais la couleur de mon argent.;28.02.1999 00:00;800;0;;f
193;prendre pour argent comptant;"croire plus ou moins naivement ce qui nous est dit; se fier aux apparences.";Il est de ces gens qui prennent pour argent comptant tout ce qui est écrit dans les livres, même dans les journaux: il croit tout ce qui est imprimé.;28.02.1999 00:00;800;0;;f
194;un colosse aux pieds d'argile;un homme, un État, dont la puissance n'est qu'apparente et repose sur une base fragile.;Lors des événements de mai 1968, ils pensaient que de Gaulle n'était qu'un colosse aux pieds d'argile. Mais lorsqu'il a remporté l'éclatante victoire du 30 juin, ils se sont rendu compte qu'il était encore fort.;28.02.1999 00:00;800;0;;f
195;faire ses premières armes;débuter dans une carrière. Au sens propre, se dit de l'officier ou du soldat qui participe à sa première campagne militaire.;Lorsqu'il est arrivé ici, il avait déjà l'expérience comme professeur: il avait fait ses premières armes dans une école privée.;28.02.1999 00:00;800;0;;f
196;rendre les armes;"renoncer à poursuivre le combat; s'avouer vaincu. Au sens propre: remettre ses armes au vainqueur.";Devant les protestations des syndicats, des corps intermédiaires, le gouvernement s'est vu forcé de rendre les armes, et il a retiré son projet de loi.;28.02.1999 00:00;800;0;;f
197;une arme à double tranchant;moyen. procédé, argument, qui peut avoir un effet contraire au but que l'on vise, où qui peut se retourner contre celui qui l'emploie.;En faisant appel aux forces de l'ordre, on peut briser une manifestation, mais cela peut aussi déclencher une véritable révolution. C'est une arme à double tranchant.;28.02.1999 00:00;800;0;;f
198;c'est un as;c'est le premier, le meilleur, le plus fort. Employé d'abord dans l'aviation, puis dans les sports, le mot s'est étendu ensuite à d'autres domaines.;C'est un as de la contestation. Il n'a qu'à prendre la tête d'un mouvement pour rallier tous ses camarades autour de lui, et même faire marcher les indifférents et les tièdes.;28.02.1999 00:00;800;0;;f
199;plein aux as;très riche. Dans la plupart des jeux de cartes, celui qui a les as est sûr de gagner.;Oui, cela lui occasionnera des dépenses, mais ne vous mettez pas en peine pour lui: il est plein aux as.;28.02.1999 00:00;800;0;;f
200;n'être pas dans son assiette;"n'être pas bien; se sentir fatigué, indisposé; n'être pas dans son état normal, habituel.";Je vais donner mon cours, mais j'aimerais mieux ne pas sortir. Je ne sais pas ce que j'ai, mais je ne suis pas dans mon assiette ces jours-ci.;28.02.1999 00:00;800;0;;f
201;un atome crochu;des sentiments d'amitié, de sympathie.;Des membres du syndicat prétendent que le président s'entend bien avec le patron. Je puis assurer qu'entre ces deux hommes, il n'y a pas un atome crochu.;28.02.1999 00:00;800;0;;f
202;avoir des atouts dans son jeu;avoir des ressources, des avantages, ce qu'il faut pour réussir.;Il est encore jeune, mais il a des atouts dans son jeu: il est intelligent, il inspire confiance et sa famille est avantageusement connue.;28.02.1999 00:00;800;0;;f
203;être d'attaque;être en pleine vigueur, rempli d'énergie, en excellente condition.;On m'offre de prendre ma retraite, mais je suis d'attaque, et je veux continuer à travailler.;28.02.1999 00:00;800;0;;f
